"Previous_Items1","Previous_Items2","Previous_Items3","Predicted_Items","support","confidence","lift"
,,"Puck Recovery,BND","BND",0.133620689655172,0.837837837837838,3.81134075251722
,,"NZ,Play","Zone Entry",0.118534482758621,0.808823529411765,2.80070237050044
"Puck Recovery",,"NZ,Play","Zone Entry",0.105603448275862,0.80327868852459,2.78150232444336
"Puck Recovery",,"fw,NZ2,Play","NZ",0.101293103448276,0.810344827586207,2.23809523809524
,,"NZ,Puck Recovery","NZ",0.146551724137931,0.809523809523809,2.23582766439909
,,"fw,NZ2,Play","NZ",0.105603448275862,0.80327868852459,2.21857923497268
"OZ,Puck Recovery",,"Direct,OZ2,Play","OZ",0.114224137931034,0.981481481481482,1.85124962360735
"OZ,Puck Recovery",,"Direct,OZ,OZ2,Play","OZ",0.112068965517241,0.981132075471698,1.85059058137751
"OZ,Puck Recovery",,"Direct,OZ,Play","OZ",0.112068965517241,0.981132075471698,1.85059058137751
"OZ","OZ","OZ,OZ2,Play","OZ",0.103448275862069,0.979591836734694,1.84768541562967
"OZ,Puck Recovery",,"OZ2,Play","OZ",0.127155172413793,0.967213114754098,1.82433693189391
"OZ,Puck Recovery",,"OZ,OZ2,Play","OZ",0.125,0.966666666666667,1.82330623306233
"OZ","OZ","OZ2,Play","OZ",0.107758620689655,0.961538461538461,1.81363352095059
,,"Medium,OZ,OZ2,Play","OZ",0.107758620689655,0.961538461538461,1.81363352095059
"Puck Recovery",,"bw,OZ2,Play","OZ",0.107758620689655,0.961538461538461,1.81363352095059
"OZ",,"bw,Play","OZ",0.105603448275862,0.96078431372549,1.8122110632871
"OZ2",,"OZ2,Play","OZ",0.103448275862069,0.96,1.81073170731707
"OZ2,Play",,"OZ2,Play","OZ",0.103448275862069,0.96,1.81073170731707
"Puck Recovery","OZ","OZ,OZ2,Play","OZ",0.101293103448276,0.959183673469388,1.80919196947072
,,"Direct,Medium,OZ2,Play","OZ",0.101293103448276,0.959183673469388,1.80919196947072
"OZ",,"bw,OZ2,Play","OZ",0.101293103448276,0.959183673469388,1.80919196947072
,,"bw,OZ2,Play","OZ",0.122844827586207,0.95,1.79186991869919
,,"OZ,Puck Recovery","OZ",0.239224137931034,0.948717948717949,1.78945174067125
,,"Long,OZ2,Play","OZ",0.118534482758621,0.948275862068966,1.78861788617886
"OZ",,"Direct,OZ,OZ2,Play","OZ",0.157327586206897,0.948051948051948,1.78819554429311
"OZ,Puck Recovery",,"Direct,Play","OZ",0.116379310344828,0.947368421052632,1.78690629011553
"Puck Recovery","OZ","OZ2,Play","OZ",0.109913793103448,0.944444444444444,1.78139114724481
