"Previous_Items1","Previous_Items2","Previous_Items3","Previous_Items4","Predicted_Items","support","confidence","lift"
,,,"Indirect,OZ2,Play","Ang(N),Shot",0.214521452145215,0.942028985507246,1.20946941783346
,,,"Indirect,OZ2,Play","Ang(N),OZ,Shot",0.211221122112211,0.927536231884058,1.20619518566897
"PRec",,,"Long,OZ,OZ2,Play","Ang(N),OZ,Shot",0.214521452145215,0.915492957746479,1.19053376050293
,,,"Indirect,Long,Play","Ang(N),OZ,Shot",0.211221122112211,0.914285714285714,1.1889638258737
"Play",,,"Long,OZ2,Play","Ang(N),OZ,Shot",0.207920792079208,0.91304347826087,1.18734838589289
"Indirect,Play",,,"OZ,OZ2,Play","Ang(N),OZ,Shot",0.204620462046205,0.911764705882353,1.18568543297147
"PRec",,,"Indirect,Long,Play","Ang(N),OZ,Shot",0.204620462046205,0.911764705882353,1.18568543297147
,,,"Long,OZ,OZ2,Play","Ang(N),OZ,Shot",0.231023102310231,0.909090909090909,1.18220834959032
"PRec",,,"Long,OZ2,Play","Ang(N),OZ,Shot",0.260726072607261,0.908045977011494,1.18084948941838
,,,"Long,OZ2,Play","Ang(N),OZ,Shot",0.283828382838284,0.905263157894737,1.17723063022363
"Indirect,Play",,,"OZ,Play","Ang(N),OZ,Shot",0.217821782178218,0.904109589041096,1.17573049561997
"PRec",,,"Long,OZ,OZ2,Play","Ang(N),Shot",0.214521452145215,0.915492957746479,1.17539985676772
,,,"Indirect,Long,Play","Ang(N),Shot",0.211221122112211,0.914285714285714,1.17384987893462
"Play",,,"Long,OZ2,Play","Ang(N),Shot",0.207920792079208,0.91304347826087,1.17225497420781
"Indirect,Play",,,"OZ,OZ2,Play","Ang(N),Shot",0.204620462046205,0.911764705882353,1.17061316051844
"PRec",,,"Indirect,Long,Play","Ang(N),Shot",0.204620462046205,0.911764705882353,1.17061316051844
,,,"Indirect,OZ,Play","Ang(N),Shot",0.201320132013201,0.91044776119403,1.16892233746522
"PRec",,,"Long,OZ,Play","Ang(N),OZ,Shot",0.234323432343234,0.89873417721519,1.16874015320259
,,,"Long,OZ,OZ2,Play","Ang(N),Shot",0.231023102310231,0.909090909090909,1.16718027734977
"bw,Play",,,"Play","Ang(N),OZ,Shot",0.201320132013201,0.897058823529412,1.16656147437516
"PRec","Indirect,Play",,"OZ,Play","Ang(N),OZ,Shot",0.201320132013201,0.897058823529412,1.16656147437516
"PRec",,,"Long,OZ2,Play","Ang(N),Shot",0.260726072607261,0.908045977011494,1.16583869082408
"PRec",,,"bw,OZ,OZ2,Play","Ang(N),OZ,Shot",0.254125412541254,0.895348837209302,1.16433775825931
"PRec",,,"bw,OZ,Play","Ang(N),OZ,Shot",0.254125412541254,0.895348837209302,1.16433775825931
,,,"Long,OZ,Play","Ang(N),OZ,Shot",0.250825082508251,0.894117647058823,1.16273668265589
,,,"Long,OZ2,Play","Ang(N),Shot",0.283828382838284,0.905263157894737,1.16226583407672
"Indirect,Play",,,"OZ,Play","Ang(N),Shot",0.217821782178218,0.904109589041096,1.16078476898073
,,,"bw,OZ,OZ2,Play","Ang(N),OZ,Shot",0.273927392739274,0.89247311827957,1.16059808943652
,,,"bw,OZ,Play","Ang(N),OZ,Shot",0.273927392739274,0.89247311827957,1.16059808943652
"Direct,Play",,,"ZEnt","not_one_timer,Shot",0.201320132013201,0.953125,1.15982680722892
"PRec",,,"Long,OZ,Play","Ang(N),Shot",0.234323432343234,0.89873417721519,1.15388328684832
"bw,Play",,,"Play","Ang(N),Shot",0.201320132013201,0.897058823529412,1.15173230309073
"PRec","Indirect,Play",,"OZ,Play","Ang(N),Shot",0.201320132013201,0.897058823529412,1.15173230309073
"Indirect,Play",,,"Direct,Play","Ang(N),OZ,Shot",0.227722772277228,0.884615384615385,1.1503796632552
"PRec",,,"bw,OZ,OZ2,Play","Ang(N),Shot",0.254125412541254,0.895348837209302,1.14953685455262
"PRec",,,"bw,OZ,Play","Ang(N),Shot",0.254125412541254,0.895348837209302,1.14953685455262
,,,"Long,OZ,Play","Ang(N),Shot",0.250825082508251,0.894117647058823,1.14795613160518
,,,"bw,OZ,OZ2,Play","Ang(N),Shot",0.273927392739274,0.89247311827957,1.14584472389284
,,,"bw,OZ,Play","Ang(N),Shot",0.273927392739274,0.89247311827957,1.14584472389284
"PRec","Indirect,Play",,"Direct,Play","Ang(N),OZ,Shot",0.214521452145215,0.878378378378378,1.14226887832038
"Indirect,Play",,,"Play","Ang(N),OZ,Shot",0.260726072607261,0.877777777777778,1.1414878397711
"PRec",,,"bw,Direct,OZ,OZ2,Play","Ang(N),OZ,Shot",0.207920792079208,0.875,1.13787553648069
"PRec",,,"bw,Direct,OZ,Play","Ang(N),OZ,Shot",0.207920792079208,0.875,1.13787553648069
